,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day
1567,1567,2021-11-10 14:06:51+00:00,2021-11-10 15:05:23+00:00,40658a,CFE31BZ,EGLC,EGPF,G-LCYP,EMBRAER,Embraer Sa,ERJ 190-100 SR Embraer 190,E190,19000443,,L2J,,FLYER,CFE,,Ba Cityflyer,,2011-06-25,,,2011-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,False,False,False,,No ADS-B Emitter Category Information,10
1568,1568,2021-11-10 14:42:42+00:00,2021-11-10 15:41:29+00:00,407837,EZY191G,EGGD,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1569,1569,2021-11-10 15:26:46+00:00,2021-11-10 15:48:29+00:00,4012d2,GBVVK,,EGPF,G-BVVK,VIKING (2),De Havilland Canada,DHC-6 SERIES 310 Twin Otter,DHC6,666,,L2T,Flybe,JERSEY,BEE,BE,Flybe,,1997-04-07,,,1980-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-27&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282B+0 )<br>,False,False,False,,,10
1570,1570,2021-11-10 14:50:38+00:00,2021-11-10 15:55:09+00:00,4074b6,EZY484P,EGKK,EGPF,G-UZHF,AIRBUS,Airbus Industrie,A320-251N,A20N,8193,,L2J,Easyjet,EASY,EZY,U2,Easyjet,,,,,2018-04-01,,,,False,False,False,,Large (75000 to 300000 lbs),10
1571,1571,2021-11-10 15:29:47+00:00,2021-11-10 15:58:51+00:00,400dc2,GMA01B,EGPE,EGPF,G-SASC,RAYTHEON,Raytheon Aircraft Company,BEECH B200C Super Kingair,BE20,BL-150,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2005-12-30,,,2005-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,10
1572,1572,2021-11-10 15:09:12+00:00,2021-11-10 16:19:11+00:00,48415e,KLM55C,EHAM,EGPF,PH-BXE,BOEING,Boeing,737NG 8K2/W,B738,29595,,L2J,,KLM,KLM,,Klm Royal Dutch Airlines,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,10
1573,1573,2021-11-10 15:37:46+00:00,2021-11-10 16:35:47+00:00,407464,SHT6E,EGLL,EGPF,G-TTNA,AIRBUS,,,A320,8108,,L2J,British Airways,SPEEDBIRD,BAW,BA,British Airways,,2018-04-10,,,,,,,False,False,False,,Large (75000 to 300000 lbs),10
1574,1574,2021-11-10 17:05:00+00:00,2021-11-10 17:52:52+00:00,40756b,EZY936U,EGBB,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1575,1575,2021-11-10 17:02:04+00:00,2021-11-10 17:58:37+00:00,40097d,SHT6F,EGLL,EGPF,G-EUUB,AIRBUS,Airbus Industrie,AIRBUS A320-232,A320,1689,,L2J,,SPEEDBIRD,BAW,,British Airways,,2002-02-14,,,2002-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,10
1576,1576,2021-11-10 15:18:10+00:00,2021-11-10 18:27:42+00:00,406b91,EZY15LE,LEMG,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,10
