,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day,id_x,ident,type,name_x,latitude_deg,longitude_deg,elevation_ft,continent_x,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link_x,keywords_x,id_y,code,name_y,continent_y,wikipedia_link_y,keywords_y
1665,1665,2021-11-12 07:06:39+00:00,2021-11-12 08:03:59+00:00,407a05,EZY646X,EGGD,EGPF,G-UZLL,AIRBUS,Airbus Sas,Airbus 320-251N,A20N,9510,0,L2J,Easyjet,EASY,EZY,U2,Easyjet,,,,,,,,CFMI LEAP-1A26,False,False,False,,,12,2417.0,EGGD,medium_airport,Bristol Airport,51.382702,-2.71909,622.0,EU,GB,GB-ENG,Bristol,yes,EGGD,BRS,,http://www.bristolairport.co.uk/,https://en.wikipedia.org/wiki/Bristol_International_Airport,Lulsgate Bottom,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1666,1666,2021-11-12 07:38:39+00:00,2021-11-12 08:06:18+00:00,407776,CFE7327,EGAC,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2387.0,EGAC,medium_airport,George Best Belfast City Airport,54.618099,-5.8725,15.0,EU,GB,GB-NIR,Belfast,yes,EGAC,BHD,,http://www.belfastcityairport.com/,https://en.wikipedia.org/wiki/George_Best_Belfast_City_Airport,,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1667,1667,2021-11-12 06:19:43+00:00,2021-11-12 08:10:20+00:00,3c66a9,DLH4NL,EDDF,EGPF,D-AIUI,AIRBUS,Airbus,A320 214SL,A320,6265,,L2J,,LUFTHANSA,DLH,LH,Lufthansa,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,12,2212.0,EDDF,large_airport,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,yes,EDDF,FRA,,http://www.frankfurt-airport.de/,https://en.wikipedia.org/wiki/Frankfurt_Airport,"EDAF, Rhein-Main Air Base",302681,DE,Germany,EU,https://en.wikipedia.org/wiki/Germany,Flughäfen in Deutschland
1668,1668,2021-11-12 07:06:16+00:00,2021-11-12 08:12:29+00:00,484f06,KLM1471,EHAM,EGPF,PH-BGM,BOEING,Boeing,737NG 7K2/W,B737,39255,,L2J,,KLM,KLM,,Klm Royal Dutch Airlines,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,12,2513.0,EHAM,large_airport,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,yes,EHAM,AMS,,http://www.schiphol.nl/,https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol,,302708,NL,Netherlands,EU,https://en.wikipedia.org/wiki/Netherlands,"Holland,Luchthavens van Nederland"
1669,1669,2021-11-12 07:23:43+00:00,2021-11-12 08:21:49+00:00,406ba6,GCWCD,EGNX,EGPF,G-CWCD,RAYTHEON,Beechcraft Corporation,BEECH B200GT Super Kingair,BE20,BY-198,,L2T,,,,,Ias Medical Ltd,,2014-05-12,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-52&nbsp;&nbsp;( HARTZELL HC-E4N-3A/NC9208K )<br>,False,False,False,,,12,2450.0,EGNX,medium_airport,East Midlands Airport,52.8311,-1.32806,306.0,EU,GB,GB-ENG,Nottingham,yes,EGNX,EMA,,http://www.eastmidlandsairport.com/,https://en.wikipedia.org/wiki/East_Midlands_Airport,RAF Castle Donington,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1670,1670,2021-11-12 07:50:36+00:00,2021-11-12 08:43:56+00:00,40792e,SHT6G,EGLL,EGPF,G-TTNK,AIRBUS,Airbus Sas,Airbus A320-251N,A20N,9551,0,L2J,British Airways Shuttle Flights - United Kingdom,SPEEDBIRD,SHT,BA,British Airways Plc,,2020-02-27,,,,,,CFMI LEAP-1A26,False,False,False,,,12,2434.0,EGLL,large_airport,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,yes,EGLL,LHR,,http://www.heathrowairport.com/,https://en.wikipedia.org/wiki/Heathrow_Airport,"LON, Londres",302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1671,1671,2021-11-12 08:56:02+00:00,2021-11-12 09:22:54+00:00,406fd8,EZY461,EGAA,EGPF,G-EZPB,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6977,,L2J,,EASY,EZY,,Easyjet Airline,,2016-02-18,,,2015-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,Large (75000 to 300000 lbs),12,2385.0,EGAA,large_airport,Belfast International Airport,54.6575012207,-6.21582984924,268.0,EU,GB,GB-NIR,Belfast,yes,EGAA,BFS,,http://www.belfastairport.com/,https://en.wikipedia.org/wiki/Belfast_International_Airport,"Aldergrove, RAF Aldergrove",302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1672,1672,2021-11-12 08:44:46+00:00,2021-11-12 09:44:19+00:00,40756a,EZY861P,EGGD,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2417.0,EGGD,medium_airport,Bristol Airport,51.382702,-2.71909,622.0,EU,GB,GB-ENG,Bristol,yes,EGGD,BRS,,http://www.bristolairport.co.uk/,https://en.wikipedia.org/wiki/Bristol_International_Airport,Lulsgate Bottom,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1673,1673,2021-11-12 08:57:00+00:00,2021-11-12 09:46:14+00:00,40756b,EZY958K,EGBB,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2389.0,EGBB,large_airport,Birmingham International Airport,52.4538993835,-1.74802994728,327.0,EU,GB,GB-ENG,Birmingham,yes,EGBB,BHX,,http://www.bhx.co.uk/,https://en.wikipedia.org/wiki/Birmingham_International_Airport_(United_Kingdom),,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1674,1674,2021-11-12 08:55:40+00:00,2021-11-12 09:50:53+00:00,406b91,EZY803M,EGGW,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,12,2419.0,EGGW,large_airport,London Luton Airport,51.874698638916016,-0.3683330118656158,526.0,EU,GB,GB-ENG,London,yes,EGGW,LTN,,http://www.london-luton.co.uk/en/,https://en.wikipedia.org/wiki/London_Luton_Airport,LON,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
